Token Number,Exit Layer,Criteria
1,15,cosine_similarity
2,9,cosine_similarity
3,11,cosine_similarity
4,11,cosine_similarity
5,11,cosine_similarity
6,11,cosine_similarity
7,11,cosine_similarity
8,11,cosine_similarity
9,6,cosine_similarity
10,15,cosine_similarity
11,11,cosine_similarity
12,9,cosine_similarity
13,11,cosine_similarity
14,11,cosine_similarity
15,11,cosine_similarity
16,11,cosine_similarity
17,11,cosine_similarity
18,11,cosine_similarity
19,12,cosine_similarity
20,11,cosine_similarity
21,11,cosine_similarity
22,11,cosine_similarity
23,11,cosine_similarity
24,11,cosine_similarity
25,11,cosine_similarity
26,12,cosine_similarity
27,8,cosine_similarity
28,11,cosine_similarity
29,11,cosine_similarity
30,11,cosine_similarity
31,11,cosine_similarity
32,11,cosine_similarity
33,11,cosine_similarity
34,11,cosine_similarity
35,8,cosine_similarity
36,6,cosine_similarity
37,11,cosine_similarity
38,11,cosine_similarity
39,11,cosine_similarity
40,6,cosine_similarity
41,7,cosine_similarity
42,11,cosine_similarity
43,11,cosine_similarity
44,4,cosine_similarity
45,11,cosine_similarity
46,15,cosine_similarity
47,11,cosine_similarity
48,11,cosine_similarity
49,11,cosine_similarity
50,11,cosine_similarity
51,11,cosine_similarity
52,11,cosine_similarity
53,11,cosine_similarity
54,8,cosine_similarity
55,11,cosine_similarity
56,11,cosine_similarity
57,11,cosine_similarity
58,11,cosine_similarity
59,11,cosine_similarity
60,11,cosine_similarity
61,11,cosine_similarity
62,15,cosine_similarity
63,11,cosine_similarity
64,11,cosine_similarity
65,15,cosine_similarity
66,11,cosine_similarity
67,8,cosine_similarity
68,11,cosine_similarity
69,11,cosine_similarity
70,11,cosine_similarity
71,11,cosine_similarity
72,9,cosine_similarity
73,11,cosine_similarity
74,12,cosine_similarity
75,11,cosine_similarity
76,6,cosine_similarity
77,11,cosine_similarity
78,12,cosine_similarity
79,11,cosine_similarity
80,12,cosine_similarity
81,11,cosine_similarity
82,11,cosine_similarity
83,11,cosine_similarity
84,11,cosine_similarity
85,11,cosine_similarity
86,12,cosine_similarity
87,8,cosine_similarity
88,12,cosine_similarity
89,11,cosine_similarity
90,11,cosine_similarity
91,8,cosine_similarity
92,8,cosine_similarity
93,11,cosine_similarity
94,11,cosine_similarity
95,11,cosine_similarity
96,3,cosine_similarity
97,11,cosine_similarity
98,11,cosine_similarity
99,11,cosine_similarity
100,8,cosine_similarity
101,8,cosine_similarity
102,11,cosine_similarity
103,11,cosine_similarity
104,4,cosine_similarity
105,11,cosine_similarity
106,11,cosine_similarity
107,11,cosine_similarity
108,11,cosine_similarity
109,8,cosine_similarity
110,11,cosine_similarity
111,11,cosine_similarity
112,12,cosine_similarity
113,11,cosine_similarity
114,11,cosine_similarity
115,11,cosine_similarity
116,11,cosine_similarity
117,11,cosine_similarity
118,11,cosine_similarity
119,11,cosine_similarity
120,9,cosine_similarity
121,9,cosine_similarity
122,8,cosine_similarity
123,15,cosine_similarity
124,12,cosine_similarity
125,11,cosine_similarity
126,13,cosine_similarity
127,12,cosine_similarity
128,15,cosine_similarity
129,9,cosine_similarity
130,13,cosine_similarity
131,15,cosine_similarity
132,15,cosine_similarity
133,11,cosine_similarity
134,11,cosine_similarity
135,12,cosine_similarity
136,12,cosine_similarity
137,13,cosine_similarity
138,11,cosine_similarity
139,6,cosine_similarity
140,12,cosine_similarity
141,12,cosine_similarity
142,11,cosine_similarity
143,12,cosine_similarity
144,12,cosine_similarity
145,11,cosine_similarity
146,12,cosine_similarity
147,12,cosine_similarity
148,11,cosine_similarity
149,11,cosine_similarity
150,12,cosine_similarity
151,11,cosine_similarity
152,11,cosine_similarity
153,11,cosine_similarity
154,11,cosine_similarity
155,11,cosine_similarity
156,11,cosine_similarity
157,11,cosine_similarity
158,11,cosine_similarity
159,12,cosine_similarity
160,11,cosine_similarity
161,12,cosine_similarity
162,11,cosine_similarity
163,11,cosine_similarity
164,11,cosine_similarity
165,11,cosine_similarity
166,13,cosine_similarity
167,11,cosine_similarity
168,11,cosine_similarity
169,11,cosine_similarity
170,11,cosine_similarity
171,8,cosine_similarity
172,13,cosine_similarity
173,15,cosine_similarity
174,15,cosine_similarity
175,8,cosine_similarity
176,9,cosine_similarity
177,11,cosine_similarity
178,11,cosine_similarity
179,15,cosine_similarity
180,11,cosine_similarity
181,11,cosine_similarity
182,11,cosine_similarity
183,11,cosine_similarity
184,11,cosine_similarity
185,11,cosine_similarity
186,11,cosine_similarity
187,7,cosine_similarity
188,13,cosine_similarity
189,11,cosine_similarity
190,11,cosine_similarity
191,6,cosine_similarity
192,11,cosine_similarity
193,11,cosine_similarity
194,13,cosine_similarity
195,11,cosine_similarity
196,15,cosine_similarity
197,15,cosine_similarity
198,11,cosine_similarity
199,12,cosine_similarity
200,11,cosine_similarity
201,13,cosine_similarity
202,11,cosine_similarity
203,11,cosine_similarity
204,11,cosine_similarity
205,11,cosine_similarity
206,11,cosine_similarity
207,12,cosine_similarity
208,11,cosine_similarity
209,11,cosine_similarity
210,12,cosine_similarity
211,11,cosine_similarity
212,13,cosine_similarity
213,11,cosine_similarity
214,9,cosine_similarity
215,15,cosine_similarity
216,12,cosine_similarity
217,11,cosine_similarity
218,13,cosine_similarity
219,8,cosine_similarity
220,8,cosine_similarity
221,6,cosine_similarity
222,11,cosine_similarity
223,15,cosine_similarity
224,12,cosine_similarity
225,12,cosine_similarity
226,6,cosine_similarity
227,11,cosine_similarity
228,12,cosine_similarity
229,12,cosine_similarity
230,9,cosine_similarity
231,6,cosine_similarity
232,13,cosine_similarity
233,6,cosine_similarity
234,11,cosine_similarity
235,11,cosine_similarity
236,11,cosine_similarity
237,11,cosine_similarity
238,11,cosine_similarity
239,11,cosine_similarity
240,12,cosine_similarity
241,12,cosine_similarity
242,11,cosine_similarity
243,11,cosine_similarity
244,11,cosine_similarity
245,12,cosine_similarity
246,11,cosine_similarity
247,12,cosine_similarity
248,11,cosine_similarity
249,11,cosine_similarity
250,8,cosine_similarity
251,11,cosine_similarity
252,12,cosine_similarity
253,7,cosine_similarity
254,11,cosine_similarity
255,11,cosine_similarity
256,12,cosine_similarity
257,12,cosine_similarity
258,13,cosine_similarity
259,11,cosine_similarity
260,12,cosine_similarity
261,11,cosine_similarity
262,11,cosine_similarity
263,11,cosine_similarity
264,11,cosine_similarity
265,11,cosine_similarity
266,11,cosine_similarity
267,12,cosine_similarity
268,12,cosine_similarity
269,11,cosine_similarity
270,11,cosine_similarity
271,12,cosine_similarity
272,12,cosine_similarity
273,11,cosine_similarity
274,11,cosine_similarity
275,11,cosine_similarity
276,12,cosine_similarity
277,6,cosine_similarity
278,11,cosine_similarity
279,11,cosine_similarity
280,12,cosine_similarity
281,11,cosine_similarity
282,11,cosine_similarity
283,12,cosine_similarity
284,11,cosine_similarity
285,15,cosine_similarity
286,11,cosine_similarity
287,15,cosine_similarity
288,11,cosine_similarity
289,12,cosine_similarity
290,15,cosine_similarity
291,12,cosine_similarity
292,11,cosine_similarity
293,11,cosine_similarity
294,11,cosine_similarity
295,11,cosine_similarity
296,11,cosine_similarity
297,11,cosine_similarity
298,11,cosine_similarity
299,15,cosine_similarity
300,15,cosine_similarity
301,11,cosine_similarity
302,15,cosine_similarity
303,11,cosine_similarity
304,11,cosine_similarity
305,11,cosine_similarity
306,11,cosine_similarity
307,13,cosine_similarity
308,11,cosine_similarity
309,11,cosine_similarity
310,11,cosine_similarity
311,11,cosine_similarity
312,11,cosine_similarity
313,11,cosine_similarity
314,11,cosine_similarity
315,11,cosine_similarity
316,15,cosine_similarity
317,12,cosine_similarity
318,6,cosine_similarity
319,12,cosine_similarity
320,8,cosine_similarity
321,11,cosine_similarity
322,11,cosine_similarity
323,11,cosine_similarity
324,11,cosine_similarity
325,11,cosine_similarity
326,15,cosine_similarity
327,11,cosine_similarity
328,13,cosine_similarity
329,12,cosine_similarity
330,11,cosine_similarity
331,11,cosine_similarity
332,11,cosine_similarity
333,13,cosine_similarity
334,13,cosine_similarity
335,11,cosine_similarity
336,12,cosine_similarity
337,12,cosine_similarity
338,11,cosine_similarity
339,8,cosine_similarity
340,12,cosine_similarity
341,11,cosine_similarity
342,11,cosine_similarity
343,8,cosine_similarity
344,8,cosine_similarity
345,15,cosine_similarity
346,4,cosine_similarity
347,11,cosine_similarity
348,11,cosine_similarity
349,12,cosine_similarity
350,11,cosine_similarity
351,11,cosine_similarity
352,11,cosine_similarity
353,11,cosine_similarity
354,15,cosine_similarity
355,11,cosine_similarity
356,11,cosine_similarity
357,8,cosine_similarity
358,11,cosine_similarity
359,8,cosine_similarity
360,11,cosine_similarity
361,11,cosine_similarity
362,8,cosine_similarity
363,11,cosine_similarity
364,11,cosine_similarity
365,8,cosine_similarity
366,11,cosine_similarity
367,11,cosine_similarity
368,13,cosine_similarity
369,11,cosine_similarity
370,11,cosine_similarity
371,12,cosine_similarity
372,8,cosine_similarity
373,11,cosine_similarity
374,11,cosine_similarity
375,8,cosine_similarity
376,11,cosine_similarity
377,11,cosine_similarity
378,6,cosine_similarity
379,11,cosine_similarity
380,12,cosine_similarity
381,11,cosine_similarity
382,15,cosine_similarity
383,12,cosine_similarity
384,12,cosine_similarity
385,9,cosine_similarity
386,11,cosine_similarity
387,11,cosine_similarity
388,9,cosine_similarity
389,9,cosine_similarity
390,11,cosine_similarity
391,11,cosine_similarity
392,11,cosine_similarity
393,11,cosine_similarity
394,11,cosine_similarity
395,12,cosine_similarity
396,11,cosine_similarity
397,13,cosine_similarity
398,11,cosine_similarity
399,15,cosine_similarity
400,15,cosine_similarity
401,11,cosine_similarity
402,11,cosine_similarity
403,6,cosine_similarity
404,11,cosine_similarity
405,9,cosine_similarity
406,8,cosine_similarity
407,15,cosine_similarity
408,11,cosine_similarity
409,11,cosine_similarity
410,11,cosine_similarity
411,12,cosine_similarity
412,6,cosine_similarity
413,11,cosine_similarity
414,15,cosine_similarity
415,10,cosine_similarity
416,11,cosine_similarity
417,10,cosine_similarity
418,15,cosine_similarity
419,10,cosine_similarity
420,10,cosine_similarity
421,6,cosine_similarity
422,10,cosine_similarity
423,15,cosine_similarity
424,14,cosine_similarity
425,12,cosine_similarity
426,15,cosine_similarity
427,12,cosine_similarity
428,12,cosine_similarity
429,13,cosine_similarity
430,12,cosine_similarity
431,12,cosine_similarity
432,12,cosine_similarity
433,15,cosine_similarity
434,12,cosine_similarity
435,15,cosine_similarity
436,15,cosine_similarity
437,14,cosine_similarity
